1 PEPPeroni p m 1400 1 baked paid delivered
2 Kjotveisla 8 l 500 1 unbaked unpaid undelivered
2 Kjotveisla c l 1700 1 unbaked unpaid undelivered
2 Vegeta c l 1700 1 unbaked unpaid undelivered
2 Vegeta c l 1700 1 unbaked unpaid undelivered
2 PEPPeroni c l 1700 1 unbaked unpaid undelivered
2 PEPPeroni c l 1700 1 unbaked unpaid undelivered
2 BBQ c l 1700 1 unbaked unpaid undelivered
2 2HOT2HANDLE c l 1700 1 unbaked unpaid undelivered
2 2HOT2HANDLE c l 1700 1 unbaked unpaid undelivered
2 BBQ c l 1700 1 unbaked unpaid undelivered
